0, 0.471891
1, 0.383319
2, 0.375538
3, 0.374254
4, 0.373074
5, 0.373167
6, 0.372585
7, 4.67788e-310
8, 0.372292
9, 0.372147
10, 0.372138
11, 0.373906
12, 0.371756
13, 0.371815
14, 0.371974
15, 0.372123
16, 0.372346
17, 0.373263
18, 0.373335
19, 0.37329
20, 0.375717
21, 0.372164
22, 0.372286
23, 0.372021
24, 0.374315
25, 0.39386
26, 0.394232
27, 0.393941
28, 0.395857
29, 0.396573
30, 0.394936
31, 0.396063
32, 0.393801
33, -nan
0, 0.238925
1, 0.195515
2, 0.195151
3, 0.196498
4, 0.19558
5, 0.195643
6, 0.195308
7, 4.65428e-310
8, 0.195474
9, 0.196706
10, 0.196683
11, 0.195483
12, 0.19566
13, 0.195994
14, 0.196298
15, 0.195434
16, 0.195287
17, 0.195338
18, 0.195243
19, 0.196119
20, 0.196132
21, 0.195971
22, 0.196188
23, 0.196007
24, 0.19605
25, 0.196344
26, 0.195971
27, 0.196351
28, 0.196138
29, 0.195594
30, 0.19561
31, 0.196533
32, 0.195607
33, -nan
0, 0.433835
1, 0.390939
2, 0.390484
3, 0.391855
4, 0.399785
5, 0.571093
6, 0.571162
7, 4.65428e-310
8, 0.49754
9, 0.392102
10, 0.392073
11, 0.390318
12, 0.393158
13, 0.392983
14, 0.393158
15, 0.393279
16, 0.574924
17, 0.392583
18, 0.391962
19, 0.393404
20, 0.394602
21, 0.392762
22, 0.447335
23, 0.574452
24, 0.57432
25, 0.452317
26, 0.392889
27, 0.395366
28, 0.393298
29, 0.392469
30, 0.392846
31, 0.393414
32, 0.392812
33, -nan
0, 0.630904
1, 0.588818
2, 0.768376
3, 0.770229
4, 0.688006
5, 0.950448
6, 0.950541
7, 4.65428e-310
8, 0.876
9, 0.770531
10, 0.770565
11, 0.769053
12, 0.772103
13, 0.656779
14, 0.590558
15, 0.590829
16, 0.772357
17, 0.58995
18, 0.588797
19, 0.589673
20, 0.593504
21, 0.589736
22, 0.644081
23, 0.771218
24, 0.770861
25, 0.650428
26, 0.58975
27, 0.592182
28, 0.59053
29, 0.589306
30, 0.591731
31, 0.590151
32, 0.589514
33, -nan
0, 1.00914
1, 0.966845
2, 0.965395
3, 0.967222
4, 0.88541
5, 1.14783
6, 1.14733
7, 4.65428e-310
8, 1.07328
9, 0.969488
10, 0.967599
11, 0.96594
12, 0.981875
13, 1.03642
14, 0.96863
15, 0.88796
16, 0.969126
17, 0.786848
