23102.6,18170.4,12200.3,24552.1,14118.7,24137.3,23134.2,28770.5,18619.5,11798.9,26924.9,16558.5,16507.6,34238.5,23359.8,24835.5,
20813.7,16086.5,12375.6,21680.7,11750.9,22895.7,22219.9,22648.3,17309.4,17791.9,23262.5,15830.9,13868.8,32182.1,12067.1,22798.4,
20996.2,16591.2,15238.5,21928.7,12245.8,28337.5,24191.3,27805.2,18359.8,16405.5,28586.9,18628.5,18115.5,34865.6,19774.8,27958,
16374,14271.1,10368.7,18960.6,12858.6,24341,20163,22684,13399.3,13412.4,26571.4,15950,12203.1,31328.8,18426.7,21750.5,
16576.9,13618.6,8131.01,16937.1,9623.17,15594.8,24866.8,22113.7,15670.3,12513.1,21473.1,12933.5,14632.5,27505.7,17813.8,18450.1,
25151,19783.2,13778.9,26400.4,16056.9,28117.9,33113.4,34094.3,22561.3,18173.5,33468.3,21410.9,20868,41435.3,27147.6,28021.1,
24231.2,18597.5,14992.2,25495.3,14802.2,29607.3,30824.6,31225,22457.9,21945.9,30896.7,21082.5,18715.6,40620.9,19709.4,28554.5,
19269.3,17926.1,11379.8,21344.7,10313.5,19591.5,20992,21087.3,15904.2,13843.5,23483.2,13882.3,15794.5,31649,14858,24395.7,
24802.6,20194.4,15213.6,24128.6,13299.3,25224,25832.5,25229.4,16171.3,15758.7,31368.1,18594.4,19935.8,36270.6,19802.4,26630.2,
14001.3,9209.5,9791.07,11495.1,8257.89,18071.2,16512.7,17444.5,8182.89,7472.89,20935.3,11246.8,11062.8,19946,16332.7,15786.1,
16256.3,11081.2,10606.3,12271.1,6518.19,14624,14222,12455.3,6978.5,8279.73,17864.7,8775.39,10630.5,18302.2,9175.91,15565.4,
24808,20696.3,17145,25587.7,13641.6,30326,28757.6,29008.2,20138.6,20316.1,32990.7,20481.2,20770.3,40877.1,19627.7,32050.1,
19972.6,15982.5,11621.3,21201.5,11527.7,22632.4,22672.7,26701,18162.9,12245,23936.7,14218.9,15036.9,31566.2,20346.4,25063.6,
18645.4,12719.9,9837.38,19527.8,11839,20492.8,21647.4,25450.5,17689.1,13247,20841.2,15654.5,13593.5,27990.7,17653.1,18017.9,
12357.2,9544.4,7118.92,12364.7,8576.79,15111.2,19564.5,16254,10521.7,12405.6,19213.2,12402.9,10638.1,22250.3,12310,13244.5,
14832.3,14663.4,9656.3,15527.9,8318.61,17607.1,17851.2,15097.4,9859.81,11486.1,22129.1,9843.6,10925.3,26584.5,11897,21975.5,
